yp20396	1998-09-06
yp931	1978-01-23
yp1163	1971-06-18
yp86301	1952-10-19
yp2138	1984-12-08
yp11120	1995-04-16
yp410	1993-11-28
yp8312	1977-03-27
yp1787	1992-12-09
yp10829	1996-05-23
yp1271	2005-02-01
yp2896	1962-10-26
yp16191	1974-##-##
yp33123	2009-09-25
yp2131	2005-03-21
yp7469	1996-09-14
yp6816	1994-10-03
yp15999	1997-##-##
yp86926	1975-##-##
yp7576	2005-03-13
yp7308	1949-12-11
yp89667	1970-##-##
yp6598	2002-07-24
yp18555	2003-12-22
yp86419	1985-##-##
yp11197	1956-11-06
yp6973	2000-01-19
yp11285	1993-06-11
yp36156	1986-11-23
yp33444	1969-##-##
yp4226	1994-03-29
yp63726	1967-##-##
yp7821	2008-##-##
yp44065	1987-##-##
yp12514	1998-06-29
yp8890	2005-04-11
yp8647	1993-12-22
yp2423	1976-12-25
yp87331	1992-08-30
yp87408	2004-02-02
yp87120	1979-06-02
yp20422	1983-12-15
yp6489	1978-02-18
yp7558	1975-10-31
yp6712	1991-07-06
yp8117	1967-##-##
yp15932	1948-08-13
yp10217	2001-##-##
yp19154	1935-##-##
yp21829	1956-12-21
yp9246	1979-03-11
yp6716	2008-11-16
yp6686	1989-##-##
yp8137	1997-11-08
yp251	2001-07-07
yp90887	2000-##-##
yp12023	1975-08-26
yp20407	1932-11-27
yp6075	2001-##-##
yp8773	1985-06-28
yp5262	1977-11-21
yp14938	1999-10-27
yp6953	2005-07-25
yp22415	1986-12-29
yp8761	1979-10-03
yp5648	1998-07-27
yp8581	2003-##-##
yp8325	1998-09-11
yp8417	1992-##-##
yp9938	1976-05-03
yp12308	1958-07-20
yp59882	1938-##-##
yp73187	2005-09-15
yp20987	2005-08-04
yp13162	2009-09-17
yp66598	2010-##-##
yp7311	1985-08-29
yp22629	2000-##-##
yp15184	1939-##-##
yp35864	1947-12-21
yp19420	1934-11-18
yp18312	1982-02-04
yp54998	1980-##-##
yp34656	2009-##-##
yp14501	1925-11-01
yp1528	1990-12-04
yp18767	1936-11-09
yp7466	1940-10-11
yp7467	1973-##-##
yp86410	1979-##-##
yp16020	1973-11-23
yp5227	1968-11-09
yp7131	1993-04-05
yp14115	1966-10-16
yp2490	1960-11-19
yp11215	1998-06-12
yp295	1988-07-22
yp4509	2007-03-29
yp2598	1993-12-17
yp15639	1977-03-30
yp9613	1940-09-25
yp12777	1994-##-##
yp876	1990-02-17
yp11204	1985-10-26
yp15017	1990-01-18
yp31217	1987-##-##
yp6576	2009-09-08
yp2452	1920-09-05
yp12207	1994-09-30
yp11235	2001-12-19
yp9897	2010-##-##
yp3225	1982-05-02
yp13806	2005-##-##
yp20144	1993-##-##
yp5269	2005-11-18
yp3357	2007-04-19
yp14652	1994-05-11
yp9343	2005-11-27
yp2334	1984-12-24
yp20398	2003-11-08
yp9922	1963-02-08
yp10422	1965-07-19
yp89784	1993-##-##
yp22879	2008-##-##
yp91210	1956-04-23
yp4623	2010-03-06
yp53403	1970-08-17
yp768	1989-07-28
yp21212	1992-##-##
yp2384	2000-##-##
yp3576	1967-05-03
yp16275	1942-##-##
yp8311	1992-05-12
yp21552	1958-11-24
yp2382	2006-08-25
yp87744	1947-##-##
yp4765	1994-03-07
yp49034	1992-12-03
yp12258	1990-12-28
yp10843	1999-08-31
yp10790	1988-10-12
yp8521	1992-##-##
yp50004	1927-05-16
yp65803	2008-10-20
yp604	2007-06-28
yp17546	2006-##-##
yp1983	1991-07-08
yp3629	1995-##-##
yp6954	1994-09-07
yp89417	1967-##-##
yp12569	1984-08-04
yp89788	2005-##-##
yp13520	1952-##-##
yp327	1997-11-25
yp802	1969-05-24
yp11583	1972-04-07
yp1168	1958-08-27
yp8675	2000-##-##
yp87534	1940-##-##
yp14301	1933-05-01
yp15059	2008-##-##
yp3931	1997-07-23
yp16033	1981-##-##
yp55930	1989-##-##
yp5438	1994-09-09
yp47666	1973-06-19
yp16723	2003-##-##
yp90550	2007-01-14
yp50893	1996-12-07
yp11048	1966-##-##
yp7530	2010-05-11
yp4523	1952-01-25
yp787	1990-05-06
yp13291	1983-10-14
yp6436	2009-##-##
yp40232	1997-10-23
yp22632	1979-05-10
yp2435	1999-11-01
yp1152	1987-08-10
yp10516	1979-05-17
yp12503	1963-02-18
yp9478	1969-##-##
yp11321	2003-##-##
yp15818	2006-##-##
yp568	1971-04-21
yp129	2008-07-03
yp10423	1950-03-25
yp91396	1999-##-##
yp2375	1975-11-17
yp861	1982-01-01
yp15615	1976-10-05
yp10542	1994-##-##
yp12152	2009-09-16
yp18964	1977-02-28
yp21397	1960-##-##
yp23284	2008-08-07
yp1538	1994-##-##
yp20353	2003-##-##
yp10467	1960-##-##
yp14007	2005-04-22
yp18316	1980-04-11
yp20538	2007-02-15
yp6385	2002-03-09
yp22980	2006-08-08
yp76112	1971-03-09
yp87442	2005-##-##
yp59663	1979-11-26
yp13828	2003-07-11
yp12714	2008-10-15
yp11327	1974-##-##
yp13047	1963-08-24
yp30041	2001-01-13
yp22134	1957-27-12
yp18939	1983-##-##
yp18677	1959-02-22
yp26943	1998-04-22
yp14174	1975-11-12
yp11547	1968-05-##
yp21703	1997-06-02
yp14027	1940-##-##
yp9764	1956-##-##
yp7241	1975-09-22
yp39305	1994-##-##
yp14466	2000-08-30
yp89169	2003-##-##
yp10366	1994-11-07
yp49444	1952-##-##
yp86815	1960-##-##
yp87777	1920-##-##
yp19357	1938-01-08
yp14236	1957-01-30
yp5962	1969-05-14
yp87834	1944-##-##
yp87657	1933-05-11
yp87778	1947-##-##
yp14268	1976-##-##
yp87793	1919-##-##
yp14299	2002-10-29
yp3944	1993-##-##
yp16298	1939-01-20
yp44414	1997-##-##
yp76534	1952-08-03
yp8472	1969-##-##
yp18077	1945-##-##
yp21438	1948-##-##
yp86314	1993-##-##
yp11277	1989-05-25
yp87109	1956-##-##
yp11168	2009-12-12
yp4493	1997-07-20
yp89540	1990-##-##
yp14850	1998-04-04
yp17031	2006-##-##
yp91614	1998-##-##
yp7707	1938-10-28
yp12185	1937-09-21
yp6133	2004-01-09
yp12577	1990-10-16
yp21132	1963-03-27
yp19038	1968-03-31
yp15070	1977-05-10
yp1333	1952-08-02
yp2406	1956-##-##
yp15484	1986-##-##
yp9739	1980-07-06
yp18254	1958-##-##
yp13978	2008-##-##
yp7684	1987-11-14
yp14987	2007-03-15
yp45630	1984-##-##
yp7814	2003-01-05
yp2330	1958-11-19
yp20147	1970-03-10
yp15371	2005-##-##
yp86827	1995-##-##
yp16795	1961-##-##
yp90897	2003-##-##
yp49539	1971-##-##
yp20219	1993-##-##
yp10772	2009-11-15
yp7243	1985-09-04
yp25287	1989-12-23
yp16227	1950-04-27
yp16173	1982-##-##
yp15819	1993-07-25
yp10363	1969-11-08
yp5373	2007-11-14
yp18206	2004-##-##
yp9788	1976-##-##
yp89150	1978-##-##
yp39149	1987-##-##
yp9423	1951-##-##
yp14595	1950-10-11
yp89614	1981-05-28
yp6002	2002-04-06
yp16701	2001-04-08
yp86304	1968-07-30
yp3718	1966-08-29
yp86271	1988-##-##
yp27843	2010-##-##
yp86957	2003-##-##
yp78269	1961-04-27
yp52542	1993-##-##
yp11345	1998-09-21
yp16581	1975-02-13
yp41468	1986-02-25
yp19784	2010-05-26
yp14137	1991-02-27
yp23841	1940-09-16
yp15273	2005-##-##
yp53675	1984-03-15
yp10645	1997-10-03
yp18654	1961-10-25
yp11660	2004-##-##
yp86817	1957-06-12
yp15898	1959-04-06
yp6063	2001-07-02
yp15413	1965-##-##
yp2429	1965-##-##
yp20099	1958-12-20
yp12231	1958-02-20
yp17499	1954-04-06
yp10449	2009-##-##
yp17552	1961-06-10
yp17582	1937-##-##
yp2156	1970-10-28
yp63331	1932-12-16
yp19307	1962-02-01
yp20954	1941-03-07
yp17312	1933-07-11
yp19553	1927-01-27
yp13438	2008-05-13
yp18764	1936-08-15
yp35856	1995-##-##
yp25339	1992-09-06
yp24467	1927-02-25
yp7217	1939-11-24
yp16808	1968-12-20
yp17012	1991-09-23
yp21234	1965-02-22
yp5207	1964-##-##
yp17935	1940-##-##
yp90497	2003-11-18
yp89844	1970-##-##
yp1226	1933-03-08
yp20956	1983-##-##
yp19184	1938-01-26
yp12908	1942-10-24
yp89004	1988-##-##
yp14485	2009-07-14
yp86886	1960-03-18
yp90963	1982-##-##
yp16779	1985-05-30
yp22135	1981-##-##
yp90017	2010-##-##
yp11268	2000-##-##
yp15441	1995-04-04
yp3626	1964-12-04
yp4446	2006-##-##
yp60913	1978-##-##
yp59467	1992-##-##
yp10437	1944-08-10
yp16269	1955-05-04
yp16715	1964-03-15
yp16211	1989-##-##
yp14157	1937-##-##
yp20202	1965-01-08
yp19120	2009-07-13
yp14342	2007-12-20
yp18636	1991-05-01
yp21064	2007-##-##
yp48269	1952-12-30
yp15563	1944-07-17
yp13322	2000-03-10
yp15938	1980-04-07
yp87923	1956-##-##
yp56133	1929-03-04
yp7334	1994-08-22
yp18128	1996-11-18
yp55848	1931-06-30
yp61967	1956-08-06
yp65096	1970-12-12
yp10853	2008-##-##
yp20891	2008-06-07
yp14925	1947-11-26
yp9201	1962-03-21
yp47572	2004-##-##
yp88517	1972-##-##
yp20498	1960-##-##
yp18823	1929-08-02
yp57587	1997-04-##
yp10017	2007-##-##
yp63965	1975-##-##
yp18982	1949-##-##
yp18898	1995-04-09
yp6490	1985-##-##
yp14273	2010-07-17
yp7361	1993-11-25
yp33286	1985-04-24
yp16042	2002-06-26
yp20609	2009-##-##
yp18469	1939-##-##
yp4203	1935-##-##
yp12778	1932-##-##
yp18249	1967-08-15
yp86813	1946-02-13
yp5660	1983-04-23
yp13194	1993-##-##
yp14886	1971-03-30
yp80623	1964-12-19
yp14523	2008-##-##
yp12909	1971-02-22
yp18766	2008-##-##
yp89011	1997-##-##
yp10466	1974-##-##
yp14758	1969-08-27
yp18477	1994-01-10
yp15895	1953-05-14
yp22017	1957-##-##
yp81000	1982-07-12
yp7286	1945-##-##
yp59012	1964-02-03
yp81120	1982-03-30
yp16507	1952-##-##
yp81266	1997-20-05
yp2644	1970-02-20
yp16493	1976-07-17
yp15264	1980-##-##
yp48791	1967-07-12
yp18149	1971-03-30
yp15854	2010-06-15
yp19991	1968-04-19
yp16999	1942-10-22
yp16679	2002-04-25
yp66715	1994-##-##
yp21998	1982-08-05
yp20116	2002-04-03
yp59708	1998-12-14
yp15735	1993-05-09
yp20302	1992-12-26
yp89230	1950-10-17
yp16866	2008-##-##
yp22314	1992-12-25
yp18086	1988-12-07
yp15473	1969-04-30
yp10395	2003-##-##
yp48029	1980-10-02
yp11206	2004-01-24
yp50954	1969-07-04
yp16931	1954-07-05
yp798	1973-04-14
yp15176	1979-12-08
yp15412	1994-##-##
yp82267	1990-12-03
yp17476	1996-07-06
yp20595	1963-08-05
yp9637	1996-06-28
yp82381	1983-12-12
yp21442	1986-09-10
yp20671	1975-07-04
yp88970	1994-10-09
yp17030	1994-##-##
yp21118	2005-##-##
yp16143	2002-08-25
yp20216	1991-06-23
yp3745	1970-05-23
yp3726	1980-10-20
yp59778	1999-06-03
yp40049	2001-##-##
yp6121	1976-07-17
yp22033	1982-12-24
yp13705	1990-03-24
yp61621	1988-12-14
yp12859	1987-11-11
yp5844	1977-11-16
yp16433	1952-07-26
yp20698	2009-04-09
yp89065	1978-06-28
yp16432	1989-11-03
yp41709	1982-12-11
yp40598	1990-14-10
yp290	1980-##-##
yp86352	1978-##-##
yp12719	2000-##-##
yp6383	1968-02-21
yp27348	1966-##-##
yp2985	2009-10-14
yp21697	2004-08-17
yp19809	2001-01-21
yp7111	1950-02-07
yp90163	1985-06-18
yp60123	1995-08-19
yp34054	1990-##-##
yp13893	1985-10-22
yp7185	1976-04-26
yp64869	2007-02-14
yp21843	2001-06-15
yp22215	1991-03-30
yp90123	1991-##-##
yp84763	2002-01-28
yp65179	2001-07-20
yp12640	1973-05-06
yp65296	2010-07-23
yp65297	1987-10-18
yp14383	2010-##-##
yp17465	1999-06-13
yp19832	1993-04-24
yp65505	2004-05-21
yp22844	2001-10-31
yp21322	2010-##-##
yp12540	1977-09-27
yp89212	1976-##-##
yp88026	2010-01-03
yp14348	1986-##-##
yp2288	1933-##-##
yp10830	1970-##-##
yp18049	2000-11-28
yp85915	1999-11-11
yp22893	1975-11-09
