ym164814	tt1111422
ym181353	tt0057423
ym183535	tt0047708
ym162503	tt0800341
ym155038	tt0051891
ym155569	tt0799949
ym154648	tt0262782
ym155323	tt0007018
ym143218	tt0039689
ym162023	tt0187251
ym158581	tt0021486
ym177180	tt0077658
ym173826	tt0160216
ym154394	tt0018909
ym157352	tt0024222
ym156619	tt0030957
ym158040	tt0095288
ym160512	tt0177504
ym157636	tt0089413
ym168208	tt0038480
ym160390	tt0899128
ym180947	tt1196116
ym178185	tt0496130
ym150079	tt0398563
ym172292	tt1319092
ym183947	tt0031128
ym155610	tt0052302
ym172034	tt1425928
ym182262	tt0025006
ym146618	tt0003679
ym147974	tt0282778
ym178362	tt0059145
ym168617	tt1164647
ym143590	tt0089941
ym150001	tt0183948
ym151534	tt0072782
ym168153	tt0066210
ym157615	tt0074226
ym155216	tt0116714
ym177272	tt0036441
ym169775	tt0070311
ym183428	tt0167344
ym152633	tt0368226
ym150204	tt0370910
ym163358	tt1068284
ym180406	tt0067513
ym171231	tt0064553
ym150466	tt243664
ym156076	tt0042544
ym159173	tt0061456
ym173311	tt0451966
ym164014	tt0097007
ym148944	tt0280446
ym171721	tt1278153
ym165908	tt0010736
ym176481	tt1563738
ym180719	tt0388093
ym174415	tt0050523
ym183197	tt0078250
ym149647	tt0120618
ym164978	tt0196219
ym146823	tt0066921
ym183591	tt0456165
ym173131	tt0187871
ym172077	tt0064576
ym163472	tt0039027
ym172763	tt0050097
ym159923	tt0179492
ym153373	tt0088256
ym153136	tt0105869
ym177697	tt0372837
ym171737	tt1667838
ym144087	tt0477457
ym175849	tt1591095
ym154380	tt0026494
ym152634	tt0019722
ym160562	tt0232515
ym176384	tt1523498
ym165736	tt0033782
ym170201	tt0214666
ym183445	tt1542411
ym178841	tt0145063
ym165078	tt0106475
ym168673	tt0232288
ym182640	tt0325826
ym157154	tt0896785
ym174480	tt1602572
ym157925	tt0113703
ym153181	tt0284611
ym155426	tt0246315
ym157028	tt0020299
ym161359	tt0270572
ym175658	tt0382006
ym154866	tt0067016
ym172354	tt0032876
ym161392	tt0349076
ym177652	tt0441297
ym169911	tt0067252
ym149992	tt0144294
ym166733	tt0929858
ym176094	tt1380799
ym147106	tt0077305
ym165865	tt0024906
ym175787	tt0044700
ym177475	tt0102544
ym154471	tt0048691
ym175098	tt0062960
ym166080	tt0113195
ym147539	tt0097490
ym176925	tt0066144
ym165199	tt0192634
ym163697	tt0051182
ym169815	tt0058863
ym160658	tt0350005
ym159754	tt0069124
ym170184	tt0080442
ym149303	tt0146271
ym157551	tt0064526
ym174225	tt0040952
ym163765	tt0005703
ym182121	tt0028181
ym158652	tt0992972
ym150533	tt0409072
ym182214	tt0019682
ym161117	tt0071514
ym169623	tt0051065
ym169809	tt0033537
ym171747	tt0113832
ym179647	tt0140814
ym172251	tt0070637
ym158871	tt0071436
ym158153	tt0117397
ym165525	tt0808399
ym149326	tt0119994
ym180414	tt0047687
ym175276	tt0403645
ym163959	tt0013127
ym152792	tt0031575
ym164206	tt0012740
ym159333	tt0067359
ym182516	tt0039859
ym146885	tt0094317
ym148897	tt0291213
ym182349	tt003032
ym161679	tt0119138
ym182720	tt0386858
ym158184	tt0166032
ym164187	tt1104733
ym180094	tt0039648
ym181752	tt1424366
ym147990	tt0383222
ym149347	tt0303830
ym170594	tt1058017
ym146151	tt0120241
ym143706	tt0045205
ym179885	tt0048933
ym182305	tt0007765
ym154401	tt0819780
ym169375	tt0086723
ym147844	tt0218043
ym162826	tt0034274
ym180146	tt0071788
ym153040	tt0117549
ym182289	tt0002996
ym152277	tt0105260
ym144551	tt0366780
ym158606	tt0100777
ym160756	tt0093596
ym158578	tt0478087
ym151445	tt0469099
ym182791	tt1194424
ym169072	tt0045847
ym178102	tt0319836
ym150098	tt0111804
ym164194	tt0025681
ym171899	tt0364301
ym145593	tt0246894
ym176397	tt1169133
ym148621	tt0046001
ym171469	tt0265580
ym157627	tt0135180
ym144111	tt0102691
ym176847	tt0120487
ym182680	tt0029952
ym166770	tt0043893
ym155089	tt0430994
ym184286	tt0021649
ym144108	tt0065421
ym172531	tt0384597
ym144426	tt0116768
ym173093	tt0274827
ym165733	tt0093826
ym177685	tt0484325
ym168420	tt0041662
ym164792	tt0034808
ym172054	tt0025564
ym161741	tt0468644
ym165262	tt0020534
ym171981	tt0083113
ym173678	tt0053867
ym165662	tt0036939
ym183000	tt0057855
ym146221	tt0033253
ym156071	tt0176411
ym145130	tt0104779
ym178596	tt0034524
ym145828	tt0050530
ym167808	tt0063299
ym148011	tt0058153
ym160293	tt1507349
ym157858	tt0418110
ym164590	tt0976238
ym147897	tt0120783
ym145589	tt0068767
ym146722	tt0057083
ym156827	tt0179086
ym160371	tt0057312
ym149915	tt0292171
ym178817	tt0072068
ym149705	tt0120906
ym165652	tt0072812
ym175168	tt1147684
ym153794	tt0076902
ym150911	tt0098577
ym153268	tt0088915
ym147289	tt0061189
ym154371	tt0023181
ym162061	tt0011743
ym166751	tt0039373
ym173263	tt0071690
ym156523	tt0092004
ym172525	tt0022559
ym162746	tt0488478
ym169071	tt0009047
ym160950	tt0032043
ym169313	tt0043903
ym170330	tt0068021
ym151171	tt0061398
ym156529	tt0181280
ym152631	tt0052846
ym164376	tt0099484
ym158282	tt0035165
ym153335	tt0101808
ym146285	tt0100212
ym163983	tt0222498
ym178700	tt0188921
ym151015	tt0267248
ym150425	tt0068657
ym152192	tt0419358
ym164666	tt0246057
ym159135	tt0069881
ym160807	tt0049166
ym143313	tt0087538
ym155887	tt0488085
ym151306	tt0325734
ym145957	tt0093163
ym148236	tt0132512
ym171045	tt1127877
ym150421	tt0025740
ym175390	tt0040974
ym151874	tt0059742
ym150528	tt0048554
ym145754	tt0109254
ym159119	tt0048260
ym159953	tt0099187
ym177895	tt0088275
ym160986	tt0008372
ym163240	tt0206020
ym171579	tt0062414
ym159538	tt0162556
ym146810	tt0064990
ym180573	tt0026638
ym156473	tt0134633
ym152091	tt0098084
ym152988	tt0033858
ym174892	tt1305879
ym147146	tt0222024
ym169748	tt0100395
ym163097	tt0010311
ym153421	tt0027830
ym166608	tt0089516
ym145594	tt0160862
ym172909	tt1471236
ym171809	tt0040560
ym154858	tt0416595
ym148561	tt0365653
ym170021	tt0048259
ym145093	tt0090056
ym146764	tt0110631
ym156285	tt0068229
ym165573	tt0031657
ym163534	tt0008411
ym169650	tt1206488
ym149111	tt0338077
ym179096	tt0000040
ym151002	tt0430634
ym181742	tt1037163
ym164756	tt0117092
ym153338	tt0084745
ym157856	tt0462570
ym153713	tt0023613
ym158004	tt0100665
ym163018	tt0009678
ym158460	tt0996435
ym161758	tt0896816
ym174458	tt0205874
ym148608	tt0343737
ym149090	tt0177242
ym165730	tt0032075
ym157878	tt0191178
ym151524	tt0335408
ym149096	tt0102913
ym179917	tt1172206
ym183737	tt0808306
ym161955	tt0008984
ym152803	tt0037604
ym152667	tt0099949
ym159248	tt0158579
ym176036	tt0040087
ym168764	tt0382465
ym162230	tt0002658
ym173877	tt0271972
ym151992	tt0104627
ym168259	tt291277
ym158674	tt0158331
ym182604	tt0083183
ym157077	tt0184226
ym155512	tt0963915
ym161043	tt0039668
ym148497	tt0376717
ym175756	tt0295210
ym151955	tt0423238
ym177628	tt0401701
ym173333	tt1851988
ym171204	tt0013417
ym167438	tt0056377
ym160885	tt0376136
ym163284	tt0272651
ym159932	tt0021778
ym178837	tt0027829
ym149428	tt0796366
ym178111	tt0337738
ym159361	tt0140090
ym161703	tt0016373
ym143994	tt0192657
ym151347	tt0484107
ym178999	tt0053447
ym170141	tt1415252
ym156855	tt0477078
ym161891	tt0047287
ym174986	tt0024995
ym159779	tt0042041
ym179448	tt0004319
ym174954	tt1109478
ym172607	tt0189509
ym167504	tt0204800
ym153683	tt0077521
ym149403	tt0260592
ym148759	tt0056105
ym146927	tt0107653
ym158685	tt0417586
ym152123	tt0016895
ym170958	tt0462295
ym175152	tt0345538
ym146664	tt0046446
ym165627	tt0092425
ym150201	tt0049949
ym153688	tt0024775
ym183758	tt0267024
ym148820	tt0393735
ym174344	tt0169731
ym147479	tt0050371
ym162297	tt0003695
ym147545	tt0048452
ym182711	tt0126215
ym148418	tt0337898
ym149511	tt0002137
ym165188	tt47467
ym169437	tt0316566
ym163342	tt0006770
ym144970	tt0114069
ym164071	tt0402497
ym162605	tt0060386
ym162343	tt0062829
ym166987	tt0074094
ym180659	tt0032189
ym183598	tt0207885
ym168996	tt0122162
ym146252	tt0095593
ym146348	tt0377038
ym151388	tt0300069
ym143507	tt0082509
ym143897	tt0090305
ym166323	tt0174204
ym144230	tt0128445
ym179968	tt0013451
ym164545	tt0019131
ym162418	tt1049405
ym148814	tt0184157
ym169505	tt1232826
ym166311	tt0406951
ym167921	tt0107665
ym144906	tt0368891
ym171489	tt0043680
ym145505	tt0301727
ym151003	tt0403407
ym147151	tt0283139
ym162818	tt0014968
ym179185	tt0444722
ym146658	tt0039004
ym151838	tt0112499
ym153931	tt0069018
ym143704	tt0043350
ym143452	tt0020938
ym157358	tt0028433
ym151597	tt0020629
ym163612	tt0065858
ym160704	tt0028227
ym177889	tt0073911
ym182298	tt0008804
ym148060	tt0439815
ym172551	tt1164985
ym162429	tt0012777
ym167691	tt0066113
ym147591	tt0337960
ym148866	tt0297037
ym164551	tt0101874
ym148633	tt0081323
ym172152	tt0287152
ym165550	tt0058179
ym145193	tt0093493
ym161639	tt0014607
ym153336	tt0036878
ym154894	tt0004142
ym179946	tt0079193
ym153430	tt0149814
ym171219	tt0087869
ym160188	tt0885518
ym173127	tt1234654
ym150057	tt0325655
ym149838	tt0346750
ym152067	tt0423310
ym148983	tt0475263
ym180851	tt0074215
ym144421	tt0343660
ym144152	tt0112681
ym168597	tt0099137
ym146247	tt0085380
ym147348	tt0157566
ym143568	tt0050307
ym144492	tt0115759
ym169495	tt0025461
ym150282	tt0054407
ym148643	tt0095863
ym176293	tt0022174
ym169827	tt1266029
ym163081	tt0010632
ym158908	tt1010448
ym175331	tt0039472
ym166803	tt1245741
ym180137	tt0058410
ym160758	tt0093626
ym162806	tt0013091
ym167486	tt1235124
ym148994	tt0468683
ym162225	tt0002894
ym145047	tt0099978
ym157186	tt0166515
ym149056	tt0108329
ym151113	tt0116783
ym156922	tt0085181
ym178352	tt0467756
ym149214	tt0080408
ym160849	tt0093164
ym146427	tt0080749
ym155053	tt0202641
ym143643	tt0010323
ym156419	tt0031002
ym175184	tt0058108
ym159736	tt0817225
ym151672	tt0088842
ym161273	tt0309912
ym170947	tt1229390
ym164283	tt0793469
ym151247	tt0455135
ym161374	tt0009905
ym145870	tt0074281
ym175762	tt1094262
ym177348	tt0461472
ym167669	tt0050406
ym174478	tt0045490
ym164318	tt0012113
ym166205	tt0006443
ym160797	tt0094304
ym151285	tt0035103
ym146168	tt0016847
ym159034	tt0125144
ym183892	tt0445848
ym146364	tt0347048
ym177930	tt0708555
ym155318	tt0070239
ym142862	tt0031225
ym170871	tt0970866
ym168142	tt0161836
ym146523	tt0028566
ym162643	tt0029061
ym162925	tt0008632
ym150860	tt0202055
ym158019	tt0055138
ym145447	tt0360201
ym174058	tt0225044
ym179512	tt0344801
ym163059	tt0010508
ym147381	tt0079221
ym147272	tt0055884
ym179754	tt0963208
ym150721	tt0430082
ym169354	tt0144168
ym164244	tt0235627
ym178060	tt0013626
ym145923	tt0073812
ym176472	tt0035486
ym182633	tt1405809
ym163021	tt1143156
ym167709	tt0104455
ym165207	tt0780514
ym159356	tt0140412
ym173871	tt0140556
ym146929	tt0460811
ym149322	tt0439646
ym171975	tt0004847
ym158586	tt0033459
ym149091	tt0099219
ym144773	tt0099371
ym165870	tt0848581
ym146496	tt0047860
ym152435	tt0780362
ym154058	tt0036653
ym147817	tt0244504
ym163428	tt0034593
ym143026	tt0038650
ym156561	tt0190281
ym145338	tt0281905
ym146293	tt0051423
ym172288	tt171357
ym170291	tt0196974
ym155354	tt0865559
ym178409	tt0041842
ym169431	tt1343076
ym148402	tt0102820
ym175884	tt0448662
ym166373	tt0001893
ym165430	tt0443844
ym160376	tt0870111
ym157339	tt0438486
ym156189	tt0379975
ym166406	tt1220628
ym146087	tt0379370
ym172944	tt0053453
ym170577	tt0083872
ym150312	tt0053219
ym154725	tt0473342
ym148984	tt0472219
ym152684	tt0028108
ym171167	tt0091652
ym174812	tt0462451
ym157864	tt0491162
ym149066	tt0467421
ym151005	tt0117103
ym162558	tt0401808
ym170206	tt0106678
ym172591	tt0201634
ym143100	tt0183790
ym168100	tt0060777
ym161921	tt0004072
ym175459	tt0338470
ym169686	tt0054091
ym146587	tt0339579
ym146971	tt0161860
ym180401	tt0067884
ym164872	tt0023778
ym162732	tt0006982
ym160365	tt0450128
ym171913	tt0026400
ym183710	tt0213969
ym157587	tt0062277
ym145459	tt0099197
ym167001	tt0068617
ym169636	tt0051695
ym161129	tt0041573
ym163461	tt0051614
ym164003	tt0064165
ym144127	tt0110950
ym157454	tt0090235
ym163113	tt0011144
ym156268	tt0326828
ym152741	tt0450345
ym166075	tt0083909
ym179338	tt0359925
ym152384	tt0063591
ym155105	tt0027951
ym164498	tt1178300
ym175218	tt0331466
ym158378	tt0094071
ym145972	tt0195685
ym178128	tt0088202
ym182172	tt0035679
ym145560	tt0109287
ym146526	tt0024507
ym174760	tt1502404
ym143309	tt0089755
ym143448	tt0203009
ym151653	tt0061073
ym175026	tt0780485
ym175198	tt0279043
ym145569	tt0108211
ym177935	tt0374497
ym167020	tt0033704
ym143383	tt0081283
ym144716	tt0031252
ym149596	tt0032339
ym154795	tt0410753
ym146904	tt0118964
ym148718	tt0295613
ym153067	tt0498399
ym143801	tt0059527
ym143761	tt0087332
ym168114	tt1296409
ym147968	tt0076504
ym161254	tt0269719
ym148945	tt0088687
ym171530	tt0319584
ym162074	tt0197402
ym180365	tt0049892
ym143608	tt0055824
ym149471	tt0057295
ym153772	tt0058200
ym153142	tt0063452
ym143626	tt0180073
ym152967	tt0383717
ym155095	tt0492272
ym154743	tt0101921
ym153120	tt0082964
ym172476	tt0778877
ym167172	tt0293086
ym144259	tt0113703
ym159201	tt0059460
ym161040	tt0171865
ym151378	tt0285665
ym152848	tt0113939
ym174379	tt0469251
ym159149	tt0044167
ym150951	tt0490204
ym171673	tt0032613
ym148839	tt0097910
ym151904	tt0209037
ym158870	tt0246740
ym162882	tt0097550
ym168359	tt0377633
ym145126	tt0058777
ym178499	tt0121791
ym181345	tt0262699
ym155707	tt0006335
ym178614	tt0304701
ym164610	tt0008366
ym155922	tt0138797
ym180626	tt120453
ym174680	tt0023913
ym178103	tt0272022
ym180266	tt0061913
ym162850	tt0016530
ym146964	tt0372707
ym165378	tt0014930
ym160682	tt0937409
ym150931	tt0086450
ym169267	tt0303981
ym142976	tt0028216
ym165104	tt0122748
ym178297	tt0425027
ym158592	tt0065571
ym147786	tt0102288
ym166354	tt0293758
ym143331	tt0057590
ym146744	tt0064639
ym167254	tt0063563
ym161681	tt0015524
ym152911	tt0475271
ym146390	tt0210616
ym162235	tt0091727
ym168216	tt0055340
ym169003	tt297781
ym149535	tt0472458
ym163201	tt0035436
ym144355	tt0335177
ym164007	tt0013292
ym147487	tt0405422
ym154056	tt0037084
ym177241	tt0061390
ym143050	tt0025601
ym148600	tt0455612
ym150074	tt0454753
ym182412	tt0029266
ym171878	tt0001709
ym155509	tt0027796
ym158601	tt0117626
ym149577	tt0025946
ym151045	tt0091024
ym175715	tt0116675
ym152834	tt0217086
ym156762	tt0114788
ym146633	tt0044287
ym157176	tt0480255
ym168390	tt0120334
ym148904	tt0272607
ym151322	tt0080605
ym154001	tt0119509
ym178616	tt0892425
ym155246	tt0072737
ym150395	tt0356614
ym146421	tt0139809
ym151691	tt0296813
ym144182	tt0098769
ym182127	tt0420826
ym182415	tt0036720
ym178327	tt0305759
ym144091	tt0120363
ym153115	tt0054038
ym155213	tt0087844
ym162664	tt0490181
ym155090	tt0343514
ym172460	tt0283096
ym179206	tt0038433
ym176402	tt1270842
ym167908	tt0124755
ym146346	tt0112313
ym161663	tt0001452
ym157955	tt0084635
ym159013	tt0778784
ym165167	tt0014377
ym153175	tt0043633
ym145085	tt0120631
ym152244	tt0483776
ym158756	tt0076177
ym160066	tt0105391
ym182277	tt0037636
ym160128	tt0032206
ym183604	tt0328998
ym180803	tt0099185
ym143990	tt0290334
ym161448	tt0248981
ym142956	tt0064665
ym153979	tt0106579
ym148507	tt0449092
ym158727	tt0079372
ym165327	tt1052352
ym154112	tt0415046
ym147286	tt0083941
ym150650	tt0044166
ym183006	tt0037858
ym162165	tt0203941
ym171179	tt0326751
ym177105	tt0381348
ym166559	tt0026361
ym167110	tt0914837
ym174827	tt0111345
ym150198	tt0140914
ym148521	tt0007194
ym182873	tt0069118
ym161063	tt0025161
ym162854	tt0030139
ym169743	tt1370439
ym175782	tt0053461
ym162107	tt0363666
ym162314	tt0053419
ym166878	tt0041244
ym170160	tt0960730
ym176408	tt0412997
ym169095	tt0079060
ym177981	tt0294805
ym161122	tt0464096
ym147814	tt0109951
ym152496	tt82075
ym145419	tt0050359
ym159705	tt0109374
ym168818	tt0087300
ym163433	tt0047966
ym164356	tt0015812
ym158734	tt0027938
ym181360	tt0058411
ym147745	tt0019688
ym151935	tt0059300
ym167723	tt0049348
ym157084	tt0029892
ym147930	tt0049301
ym161475	tt0014097
ym144560	tt0114234
ym154256	tt0385751
ym165953	tt1090634
ym149069	tt0071442
ym155359	tt0037415
ym150507	tt0370082
ym173337	tt0246254
ym183714	tt0982860
ym164179	tt0409016
ym160041	tt0051015
ym153983	tt0469919
ym146735	tt0088206
ym146035	tt0036261
ym147579	tt0417225
ym170888	tt0122458
ym145304	tt0104437
ym163035	tt0010522
ym181778	tt0181549
ym181809	tt0083237
ym143457	tt0058548
ym173037	tt0075263
ym145846	tt0315824
ym158776	tt0077868
ym175773	tt0076320
ym145675	tt0031473
ym153437	tt0038873
ym153110	tt0038441
ym173872	tt0056388
ym169466	tt1390841
ym183037	tt0059565
ym182713	tt0033390
ym160937	tt0034370
ym163589	tt0342267
ym150628	tt0050658
ym162405	tt1020766
ym146683	tt0138524
ym177834	tt290794
ym168537	tt0208855
ym166697	tt1038971
ym144176	tt0123755
ym157813	tt0381408
ym144055	tt0101615
ym175936	tt0078451
ym156774	p124955
ym166525	tt0033167
ym149248	tt0117273
ym152256	tt0099587
ym144274	tt0110116
ym173309	tt0246204
ym182993	tt0029694
ym156235	tt0081793
ym183934	tt0190806
ym160220	tt0119709
ym148954	tt0313670
ym167132	tt0026616
ym159937	tt0103957
ym156875	tt0357894
ym169212	tt1151922
ym143763	tt0055471
ym153403	tt0066960
ym178878	tt0333640
ym182222	tt0022788
ym182290	tt0004199
ym166194	tt0005774
ym176281	tt1217645
ym175105	tt0101272
ym144334	tt0356150
ym154059	tt0040978
ym155452	tt0096332
ym155399	tt0214496
ym180555	tt0023350
ym152569	tt0004099
ym170359	tt1185836
ym176028	tt0068632
ym147241	tt0045152
ym143497	tt0084602
ym182894	tt0032353
ym176192	tt1695793
ym151046	tt0113936
ym182325	tt0043558
ym148302	tt0025499
ym157963	tt0127017
ym178971	tt0072871
ym150492	tt0419294
ym153707	tt0161981
ym166481	tt0002066
ym167287	tt1156506
ym175486	tt0019165
ym177154	tt0023891
ym166913	tt0012512
ym146133	tt0113819
ym159962	tt0098586
ym165750	tt0036093
ym161678	tt0015343
ym161973	tt0085896
ym163038	tt0044566
ym165634	tt0037352
ym167084	tt1202232
ym155941	tt0060094
ym146002	tt0101829
ym165597	tt0833444
ym151668	tt0098813
ym180164	tt0114086
ym164994	tt1043838
ym162484	tt0023033
ym167402	tt0049313
ym163158	tt0032995
ym145989	tt0095765
ym176133	tt1618467
ym151910	tt0435507
ym162323	tt0005312
ym151104	tt0110997
ym160232	tt0114753
ym158162	tt0091579
ym142923	tt0114746
ym147427	tt0052549
ym184001	tt1503184
ym144190	tt0045693
ym183575	tt0472655
ym160016	tt0485376
ym158689	tt0195260
ym153699	tt0055100
ym170538	tt0066227
ym146588	tt0025443
ym169400	tt0051072
ym176795	tt0091794
ym161468	tt0020763
ym151594	tt0060877
ym166065	tt0282889
ym145357	tt0368008
ym161523	tt0143000
ym144261	tt0086216
ym182131	tt0103150
ym143517	tt0044829
ym144467	tt0325055
ym158373	tt0073623
ym143863	tt0090109
ym147417	tt0039895
ym163631	tt0108035
ym177980	tt0004518
ym158330	tt0470679
ym155021	tt0040098
ym152010	tt0034936
ym156366	tt0834902
ym176356	tt0040624
ym162780	tt0472027
ym153297	tt0470614
ym149788	tt0113041
ym174785	tt0244204
ym148710	tt0101787
ym150779	tt0479751
ym171242	tt1423995
ym145209	tt0080310
ym157045	tt0096153
ym147041	tt0379536
ym143595	tt0093664
ym153095	tt0117094
ym179635	tt0058281
ym166939	tt0085627
ym171174	tt0007127
ym158459	tt0021970
ym156373	tt0204796
ym178435	tt0094225
ym165639	tt0101959
ym155224	tt0058754
ym150019	tt0381601
ym158131	tt0028099
ym148264	tt0041761
ym164037	tt0120565
ym165103	tt0090908
ym172696	tt1381512
ym162738	tt0096903
ym175385	tt0357009
ym157047	tt0038492
ym146800	tt0373926
ym162975	tt0211896
ym164589	tt0323619
ym159404	tt0268740
ym182731	tt0114435
ym157146	tt0043959
ym169687	tt1116186
ym169884	tt0795441
ym182735	tt0066136
ym174256	tt0037104
ym168392	tt1024852
ym163766	tt0222322
ym161382	tt0321630
ym156325	tt0291816
ym174664	tt0064297
ym153190	tt0037132
ym167183	tt0087629
ym162402	tt0116264
ym179625	tt0077222
ym155048	tt0044072
ym182320	tt0045573
ym164365	tt0015505
ym165471	tt0137485
ym165625	tt0104892
ym165126	tt0893367
ym183666	tt0138322
ym152909	tt0037939
ym161546	tt0401420
ym164137	tt0034266
ym145786	tt0119721
ym171847	tt0251179
ym155120	tt0412443
ym165804	tt1239428
ym146391	tt0387892
ym147581	tt0069847
ym157628	tt0759612
ym167975	tt0122269
ym145414	tt0293662
ym159265	tt0086892
ym152611	tt0778661
ym151932	tt0375997
ym173304	tt1598547
ym162040	tt0010628
ym167070	tt0108350
ym181046	tt0051634
ym143110	tt0099739
ym151980	tt0045125
ym146899	tt0090233
ym151254	tt0072281
ym144625	tt0064132
ym146653	tt0101465
ym177734	tt0075419
ym157465	tt0136153
ym147483	tt0061719
ym152895	tt0020643
ym173068	tt1348318
ym150030	tt0373856
ym151660	tt0109021
ym170805	tt0902290
ym158614	tt0806165
ym173726	tt0310907
ym170916	tt1090646
ym150577	tt0049103
ym166496	tt1190080
ym155364	tt0337881
ym184045	tt0049338
ym145420	tt0120877
ym177882	tt0805526
ym149957	tt0460732
ym181517	tt0073146
ym145457	tt0042286
ym180763	tt0855783
ym155680	tt0025185
ym183753	tt0079126
ym153519	tt0090887
ym175428	tt0076125
ym154197	tt0455326
ym150225	tt0025455
ym144216	tt0330111
ym180200	tt0056680
ym154985	tt0055234
ym174845	tt0045491
ym173228	tt1447508
ym144049	tt0107034
ym169424	tt1186795
ym162387	tt0010391
ym165799	tt0055864
ym146989	tt0116643
ym173181	tt0124023
ym154154	tt0084955
ym158927	tt0051534
ym172991	tt0046534
ym167149	tt0035942
ym169040	tt0077392
ym165051	tt0025335
ym149317	tt0099546
ym164615	tt0323551
ym172853	tt0058489
ym167234	tt0059589
ym162956	tt0067167
ym165387	tt0048653
ym177230	tt0395443
ym164230	tt0004272
ym170155	tt0072403
ym160853	tt0023731
ym167389	tt0007642
ym164557	tt0033289
ym174967	tt0023573
ym152450	tt0838232
ym146245	tt0321473
ym178407	tt0346039
ym148598	tt0408985
ym152570	tt0464049
ym155810	tt0483934
ym167532	tt1202044
ym150836	tt0365390
ym162108	tt0377738
ym154366	tt0106426
ym172975	tt1039995
ym146142	tt0087545
ym168660	tt0429652
ym171693	tt1235142
ym180041	tt1047007
ym146415	tt0107927
ym152980	tt0118926
ym165213	tt0016929
ym158664	tt0412074
ym167038	tt0049793
ym153483	tt0347779
ym181868	tt1193473
ym176751	tt0021322
ym176937	tt0052401
ym182148	tt0036888
ym158456	tt0066724
ym164949	tt0116845
ym157000	tt238546
ym151451	tt0092501
ym183196	tt0044088
ym150455	tt0022971
ym142911	tt0117500
ym165761	tt1068646
ym157099	tt0054601
ym181436	tt0010298
ym150600	tt0390205
ym145391	tt0101898
ym173856	tt1599351
ym181280	tt0050435
ym149332	tt0053242
ym157511	tt0087414
ym169406	tt0046881
ym146634	tt0092745
ym151617	tt0420206
ym158426	tt0123372
ym151458	tt0068732
ym149232	tt0335563
ym184161	tt0050879
ym184277	tt1540437
ym165282	tt0014777
ym182194	tt0035092
ym158074	tt0099817
ym152663	tt0080482
ym143772	tt0298814
ym184047	tt1147621
ym146681	tt0319531
ym182630	tt0065131
ym164084	tt0436364
ym168516	tt1312135
ym143059	tt0019823
ym172171	tt0121423
ym173269	tt0104428
ym153219	tt0064588
ym163392	tt0009650
ym146282	tt0376105
ym148213	tt0452594
ym150762	tt0033436
ym147054	tt0078350
ym165630	tt0411487
ym178358	tt0347369
ym152254	tt0074455
ym172743	tt1609119
ym149342	tt0108962
ym145601	tt0111187
ym167990	tt0064755
ym159543	tt0021975
ym152404	tt0364376
ym182484	tt0156465
ym166224	tt0008009
ym160858	tt0032270
ym174692	tt0046676
ym157103	tt0044860
ym159281	tt1062939
ym179887	tt0067983
ym169329	tt0065891
ym168016	tt0374180
ym146121	tt0327071
ym180012	tt0068821
ym147083	tt0473435
ym158042	tt0490114
ym156876	tt0056995
ym144341	tt0055950
ym180387	tt0048279
ym146366	tt0396592
