ym142980	The Great Ziegfeld
ym183630	Carandiru (film)
ym183867	Cosmic Zoom
ym183974	Anthimanthaarai
ym184246	Grave of the Vampire
ym524444	Probes in Space
ym567844	Punam
yp100762	Moneca Stori
yp1018644	Peter J. Reineman
yp10227	Aarti Chhabria
yp10255	Betsy King Ross
yp10262	Tomas Arana
yp1037576	Kerry Ann Christiansen
yp1044985	Maria Giese
yp1045	Richard Dreyfuss
yp1052024	Palash Sen
yp10615	Bong Tae-gyu
yp10713	Tullio Kezich
yp1115201	Hema Sardesai
yp11501	Lauren Socha
yp1161363	Claudia Bryar
yp1164266	Gunilla Knutsson
yp1177608	George Houvardas
yp11884	Cliff Norton
yp12006	Andrea Marcovicci
yp1206374	Rodger Boyce
yp1210779	Travis Bowen
yp12191	Nickolas Grace
yp12441	Larry Cedar
yp1245139	Lynn Kitch
yp12477	Ali Hillis
yp1285854	Adam Pallin
yp12859	John 'Dusty' King
yp13206	Juanita Hansen
yp13408	Noel Neill
yp13499	Yevgeniy Yevstigneyev
yp13720	Eddie Mayehoff
yp13838	Takehito Koyasu
yp14714	Mohammed Chaara
yp1512	Ben Stiller
yp15404	Brigitte Horney
yp15534	Taylor Schilling
yp15665	Melissa De Sousa
yp1607	Joanne Woodward
yp16182	Sharifah Aryana
yp16345	Sachin (actor)
yp16821	Teo Gheorghiu
yp16848	Lorna Tolentino
yp16860	Roberto Herlitzka
yp16913	Lisa Lampanelli
yp17379	Mamata Shankar
yp1744	Eileen Atkins
yp17594	Tony Dalton
yp17931	Taylor Cole
yp1798	Frank Whaley
yp18034	Valentin Gaft
yp18057	Geoff Eigenmann
yp18152	Sunnyi Melles
yp18245	Ranjana Deshmukh
yp18310	Milton Frome
yp18578	Anne Lambton
yp18613	Andrew Fiscella
yp1874	Nicoletta Braschi
yp19332	Lucy Gaskell
yp19460	Brid Brennan
yp19551	Mae Giraci
yp19592	Rick Jason
yp19720	Charlotte Salt
yp19802	Harold French
yp1993	Richard Gant
yp20061	Richard Beckinsale
yp20161	Jack Betts
yp20503	Barry Jackson (actor)
yp20559	Jack Woolgar
yp20828	Jamie Alcroft
yp2103	Ellen Geer
yp21123	Laetitia Casta
yp21292	Josh Stewart
yp2133	Jill Eikenberry
yp21496	Tibor Feldman
yp2164	Anne Reid
yp22093	Natalia Tena
yp2263	Walton Goggins
yp22730	Rachel Trachtenburg
yp2280	Ann Magnuson
yp2340	Rawiri Paratene
yp2388	Farley Granger
yp24894	Chris Gerolmo
yp25096	David Wise (composer)
yp26230	Makoto Shinkai
yp26625	Aditya Chopra
yp2738	Richard Eyer
yp28880	Peter Milligan
yp28994	John Gilling
yp29821	Paul Morrissey
yp3020	Forrester Harvey
yp30515	Stephen Volk
yp31906	Bruce Robinson
yp32508	Irwin Yablans
yp32769	Kay Pollak
yp3298	Jan Decleir
yp330	Richard Dysart
yp33245	Timbaland
yp34308	Mitchell Burgess
yp35488	James Melkonian
yp3751	Elias Toufexis
yp3754	Kim Poirier
yp3925	N'Bushe Wright
yp401	John Wood (English actor)
yp4100	Lorne Greene
yp41722	Adam Reed
yp4299	Alec Newman
yp43495	Gilbert Pratt
yp46086	Malcolm Mowbray
yp468	Gaby Hoffmann
yp4805	Oprah Winfrey
yp4920	Zbigniew Zamachowski
yp4957	Charlotte Rae
yp5023	Barry Watson (actor)
yp5093	Helge Jordal
yp5158	Camryn Manheim
yp5341	Amanda Wyss
yp53470	Sean Mathias
yp54262	Leidulv Risan
yp56483	John Stone (producer)
yp57696	John Grierson
yp5874	Sandra Dee
yp6003	Gigi Leung
yp60144	Luigi Capuano
yp6354	Jake Lloyd
yp6392	Alessandra Martines
yp6481	Tamala Jones
yp6840	Colin Welland
yp6866	Vishnuvardhan (director)
yp7193	Marcus Thomas (actor)
yp7538	Josh Hutcherson
yp76	William Alland
yp7733	Beverly Aadland
yp8095	James Nesbitt
yp8217	Elaine Devry
yp8280	Purva Bedi
yp86316	Jack Kinney
yp8635	Josef Hader
yp86487	Robert Greenwald
yp86690	Mike Newell (director)
yp87160	Rowan Woods
yp87547	Ira Sachs
yp87708	Rajnesh Domalpalli
yp89242	Michael Lucas (director)
yp89383	Keith Samples
yp90186	Tony Tenser
yp90672	Joel Douglas
yp9080	Jackie Curtis
yp91151	Mel Johnson, Jr.
yp91229	Nial Fulton
yp9137	Suchitra Krishnamoorthi
yp930120	Fredi Walker
yp934754	Selina Griffiths
yp957031	Asako Kozuki
yp9646	Salim Ghouse
yp978750	Maria Mercedes (actor)
yp990714	Maria McErlane
ym143494	Donovan's Reef
ym144118	Mrs. Doubtfire
ym144244	Peeping Tom (film)
ym144379	In the Company of Men
ym144966	Posse (1993 film)
ym145087	Tommy Boy
ym145782	Haute Tension
ym146073	The Replacement Killers
ym146492	Dragon Seed (film)
ym146650	Lenin in Paris
ym146817	A Generation
ym147093	Phantasm (film)
ym147210	Paheli
ym147250	V for Vendetta (film)
ym148045	The Killer That Stalked New York
ym148261	A Bittersweet Life
ym148533	Nearing Grace
ym149001	Apoorva Raagangal
ym149556	Blue Denim
ym149750	3 Ninjas Knuckle Up
ym150156	Eliminators
ym151588	Dreamer (1979 film)
ym151597	All Quiet on the Western Front (1930 film)
ym151810	Slither (1973 film)
ym152168	Lying (film)
ym152212	The Iron Ladies (film)
ym152437	Bossa Nova (film)
ym153231	A Soldier's Daughter Never Cries (film)
ym155626	The Buzzard's Shadow
ym155654	One Shot Sam
ym156323	Zona J (film)
ym156371	The Atlantis Interceptors
ym156477	Futtocks End
ym156710	All the Invisible Children
ym156831	Kiss Me Kate (film)
ym156943	Die Ratten
ym157503	The Train Robbers
ym157880	Nuestra tierra de paz
ym158157	Mungaru Male
ym158716	Five Element Ninjas
ym159624	Benji (film)
ym159765	Victoria the Great
ym160411	Battle of the Last Panzer
ym160483	Mystery Date
ym160504	Traitor (film)
ym160648	The Alan Clark Diaries
ym160649	Learners
ym160974	Mad City (film)
ym161264	Rang
ym162270	In Love We Trust
ym162856	The Man from Earth
ym163815	Sleep Dealer
ym164491	Into the Net
ym164518	Sunken Silver
ym165784	Linha de Passe
ym166334	Choosing a Husband
ym166665	A Month in the Country (film)
ym167504	Alibi Bye Bye
ym167559	Miss Sweden (film)
ym168258	Monas verden
ym168263	The True Story of Jesse James
ym168794	Seven Women from Hell
ym168835	Shorts (film)
ym169521	The Last of the Knucklemen
ym169724	Cyclone (1987 film)
ym169870	Sucker Punch (film)
ym170367	The Crazies (2010 film)
ym170543	Camilla (film)
ym170697	Independencia (film)
ym170722	Restless (1998 film)
ym171129	Inside Detroit
ym173331	Devanthakudu
ym173501	The Girl from Corfu
ym174886	Hailesa
ym175507	Faces in the Crowd (film)
ym176209	Charlie Valentine
ym177092	Popeye the Sailor Meets Sindbad the Sailor
ym177909	Creator (film)
ym178011	The Case of the Stuttering Pig
ym179222	Feelin' Up
ym179378	Speedy Gonzales (film)
ym179677	The House (1999 film)
ym180259	The Fighting Gringo (1939 film)
ym180942	A Place in the Land
ym181707	Home (2009 film)
ym181740	Les Misérables (1909 film)
ym181792	The Warped Ones
ym183755	Desamuduru
yp10005	Paul Weitz (filmmaker)
yp10189	Bo Brundin
yp1023292	Salima Saxton
yp1046870	Mayne Berke
yp1116145	Sandi Huge
yp11319	Mizuo Peck
yp1134979	Anne Chambers (author)
yp11563	Joe Flaherty
yp12233	Laura Leighton
yp12366	Jimmy Wang (actor)
yp1288186	Brian Iles
yp1289581	Camille Ford
yp12918	Nella Walker
yp1317	Will Geer
yp1340	Debra Paget
yp1341	John Derek
yp14017	William McNamara
yp14127	Pierre Arditi
yp15145	Garrett Morris
yp15369	Barbara Pepper
yp16359	Takayo Fischer
yp16391	Jolina Magdangal
yp1654	Timothy Spall
yp1655	John Gielgud
yp18374	Kit DeZolt
yp18857	April Bowlby
yp19459	Marie Mullen
yp19481	James Murray (English actor)
yp19580	Robert Pugh
yp19961	Glynn Edwards
yp2038	Robert Strauss (actor)
yp20716	Aparajita Mohanty
yp22545	Aashif Sheikh
yp24065	Casey Robinson
yp25061	Nick Park
yp25582	Basil Dean
yp334	Matthew McConaughey
yp33757	Benito Alazraki
yp36308	Gil Grant
yp3631	Steve Harvey
yp376	Jeanne Moreau
yp38830	Val Lewton
yp43440	Florian Henckel von Donnersmarck
yp45529	Arthur Robison
yp4730	Corbin Bernsen
yp4912	Jamie Farr
yp5321	Blanchard Ryan
yp5380	Alice Playten
yp5461	Desmond Harrington
yp57990	Henning Carlsen
yp58397	Gianfranco Baldanello
yp60401	Monja Danischewsky
yp6115	Daran Norris
yp6785	Connie Young
yp7409	Gaspard Manesse
yp7848	Leslie Hope
yp86428	Thomas Schlamme
yp86603	Stephen Hopkins (director)
yp8700	Carey Mulligan
yp87485	M. S. Sathyu
yp87587	Ladislas Starevich
yp87894	Luc Moullet
yp88059	Caspar Wrede
yp89199	Ester Brymova
yp89472	Daniel Maze
yp90149	Arthur Cohn
yp9065	Alicia Fulford-Wierzbicki
yp91233	Far Shariat
yp930138	Robert Hales (director)
yp9682	Peter Scolari
yp969542	Heather Peace
yp970412	Caroline Dale
yp982628	Nico Lathouris
ym143166	El Norte (film)
ym143550	Ronin (film)
ym143583	Men in Black (film)
ym144120	Beethoven (film)
ym144244	Peeping Tom (film)
ym144379	In the Company of Men
ym144966	Posse (1993 film)
ym145023	Woman in the Moon
ym145087	Tommy Boy
ym145159	Stray Dog (film)
ym145447	Wimbledon (film)
ym145664	Alfie (2004 film)
ym145953	Across 110th Street
ym146037	Polyester (film)
ym146073	The Replacement Killers
ym146100	Sphere (film)
ym146492	Dragon Seed (film)
ym146650	Lenin in Paris
ym146817	A Generation
ym146894	Jeepers Creepers (2001 film)
ym146903	Kansas City (1996 film)
ym147093	Phantasm (film)
ym147210	Paheli
ym147250	V for Vendetta (film)
ym147688	The Optimists (1973 film)
ym147728	Khuda Kay Liye
ym148045	The Killer That Stalked New York
ym148156	The Karate Kid, Part III
ym148385	Hell Comes to Frogtown
ym148448	The Undead (film)
ym148540	This Is the Night (film)
ym148606	Don't Bother to Knock
ym149001	Apoorva Raagangal
ym149336	The Beast Within
ym149556	Blue Denim
ym150078	The Mummy's Curse
ym151035	Broadway (1942 film)
ym151130	Cast a Dark Shadow
ym151597	All Quiet on the Western Front (1930 film)
ym152000	Away from Her
ym152168	Lying (film)
ym152386	Steel Dawn
ym152437	Bossa Nova (film)
ym152736	Yakeen (1969 film)
ym153663	Don't Fool Me
ym153749	The Desert Rats (film)
ym154507	And God Created Woman (1988 film)
ym154615	True Confessions (film)
ym154976	The Old Garden
ym154983	Imtihaan
ym155043	Trapped in a Forest Fire
ym155626	The Buzzard's Shadow
ym155654	One Shot Sam
ym155854	Adventures of Red Ryder
ym156276	Tarzan Finds a Son!
ym156323	Zona J (film)
ym156371	The Atlantis Interceptors
ym156374	Return to Horror High
ym156465	Book of Love (1990 film)
ym156590	Journey from the Fall
ym156710	All the Invisible Children
ym157003	The Seduction of Joe Tynan
ym157111	Tristar (film)
ym157880	Nuestra tierra de paz
ym158340	House on Fire
ym158981	Fakira (film)
ym159797	Mabel's Married Life
ym159869	The Little Thief
ym159908	Aeg elada, aeg armastada
ym160411	Battle of the Last Panzer
ym160504	Traitor (film)
ym160735	Adieu poulet
ym160999	Safe Passage (film)
ym161048	The Last Legion
ym161264	Rang
ym161359	The Pest (1917 film)
ym161732	Coqueta
ym161911	Return to Paradise (1953 film)
ym162270	In Love We Trust
ym162552	Agonia (1969 film)
ym162759	Perils of the Royal Mounted
ym162928	Lonesome Luke's Wild Women
ym163206	Gang War
ym163354	Mischief Night (film)
ym163682	Every Sunday
ym163895	Hero (2007 film)
ym163991	Sure Fire
ym164157	Leoni Leo
ym164168	The Leopard (1918 film)
ym164518	Sunken Silver
ym164590	Old Dogs (film)
ym164675	Pirates of the Pines
ym165213	The Golden Web
ym165383	On Hostile Ground
ym165864	Born to Be Bad (1950 film)
ym165962	Poor Jake's Demise
ym166253	Dreams with Sharp Teeth
ym166270	The Devil's Daughter (1915 film)
ym166334	Choosing a Husband
ym166516	Legion (2010 film)
ym166718	The Hunchback of Notre Dame (1911 film)
ym167101	Heart o' the Hills
ym167708	Pyaasa (2002 film)
ym168263	The True Story of Jesse James
ym168464	My Friend Joe
ym168715	Double Cross (1972 film)
ym168794	Seven Women from Hell
ym168835	Shorts (film)
ym168888	Konchem Ishtam Konchem Kashtam
ym169521	The Last of the Knucklemen
ym169606	Father Sergius (film)
ym169870	Sucker Punch (film)
ym170367	The Crazies (2010 film)
ym170476	Christmas Miracle in Caufield, U.S.A.
ym170697	Independencia (film)
ym171129	Inside Detroit
ym171313	Soul Mates (film)
ym171323	Subway to the Stars
ym171447	Ten Cents a Dance (1945 film)
ym171604	Road to the Stage
ym171629	Unstoppable (2010 film)
ym171737	I Hate Luv Storys
ym173501	The Girl from Corfu
ym173903	Thacholi Varghese Chekavar
ym174224	Windom's Way
ym174317	Mr. Hex
ym174569	Housekeeping (film)
ym174771	Inspector Balram
ym174886	Hailesa
ym175783	Deadly Voyage
ym176177	Tell It to the Judge
ym176209	Charlie Valentine
ym176367	La pecora nera
ym176915	Before Sunset
ym176964	Mayor of the Sunset Strip
ym177092	Popeye the Sailor Meets Sindbad the Sailor
ym177462	Street Fight (film)
ym177477	Eat Hot Tofu Slowly
ym177917	Quentin Quail
ym178011	The Case of the Stuttering Pig
ym178569	The Bowling Alley Cat
ym179191	Les Aventures des Schtroumpfs
ym179945	Zomerhitte
ym180122	Under the Counter Spy
ym180259	The Fighting Gringo (1939 film)
ym180604	The Murder of Fred Hampton
ym180909	Wicket Wacky
ym180942	A Place in the Land
ym181707	Home (2009 film)
ym182995	Olivier, Olivier
ym183755	Desamuduru
ym183867	Cosmic Zoom
yp100762	Moneca Stori
yp10189	Bo Brundin
yp1023292	Salima Saxton
yp10255	Betsy King Ross
yp1037576	Kerry Ann Christiansen
yp1044985	Maria Giese
yp1045	Richard Dreyfuss
yp1052024	Palash Sen
yp10615	Bong Tae-gyu
yp10666	Robert Williams (actor)
yp1088255	John Fricke
yp10901	Sho Kosugi
yp11319	Mizuo Peck
yp11501	Lauren Socha
yp11563	Joe Flaherty
yp1164266	Gunilla Knutsson
yp11884	Cliff Norton
yp11899	Ryan Agoncillo
yp12006	Andrea Marcovicci
yp1210207	Takeshi Furukawa
yp1210779	Travis Bowen
yp12233	Laura Leighton
yp12335	Ronnie Warner
yp12366	Jimmy Wang (actor)
yp12441	Larry Cedar
yp12602	Elaine Giftos
yp1289581	Camille Ford
yp12918	Nella Walker
yp1294	Christopher Hewett
yp1297208	Kat Lehmer
yp1317	Will Geer
yp13206	Juanita Hansen
yp1340	Debra Paget
yp13499	Yevgeniy Yevstigneyev
yp14017	William McNamara
yp14079	Patrick Thomas (actor)
yp14127	Pierre Arditi
yp14714	Mohammed Chaara
yp1512	Ben Stiller
yp1563	Elizabeth Berkley
yp15665	Melissa De Sousa
yp16343	Michel Auclair
yp16345	Sachin (actor)
yp1655	John Gielgud
yp16848	Lorna Tolentino
yp16860	Roberto Herlitzka
yp17109	Larry Pennell
yp17594	Tony Dalton
yp18034	Valentin Gaft
yp18152	Sunnyi Melles
yp18260	Eileen Herlie
yp18374	Kit DeZolt
yp1874	Nicoletta Braschi
yp18857	April Bowlby
yp19332	Lucy Gaskell
yp19459	Marie Mullen
yp19460	Brid Brennan
yp19580	Robert Pugh
yp19592	Rick Jason
yp19720	Charlotte Salt
yp19961	Glynn Edwards
yp20175	Jessica Szohr
yp2038	Robert Strauss (actor)
yp21775	Genevieve Nnaji
yp2179	Dennis Price
yp22730	Rachel Trachtenburg
yp2275	Jamie Foxx
yp2280	Ann Magnuson
yp24065	Casey Robinson
yp25061	Nick Park
yp26230	Makoto Shinkai
yp26625	Aditya Chopra
yp2738	Richard Eyer
yp2763	Jan Schweiterman
yp28880	Peter Milligan
yp3020	Forrester Harvey
yp32508	Irwin Yablans
yp33245	Timbaland
yp334	Matthew McConaughey
yp36308	Gil Grant
yp3631	Steve Harvey
yp376	Jeanne Moreau
yp38284	Suzanne Schiffman
yp38830	Val Lewton
yp4100	Lorne Greene
yp41097	Yuvan Shankar Raja
yp41722	Adam Reed
yp4299	Alec Newman
yp45529	Arthur Robison
yp468	Gaby Hoffmann
yp4730	Corbin Bernsen
yp4805	Oprah Winfrey
yp4957	Charlotte Rae
yp51603	Jon Kinnally
yp5380	Alice Playten
yp5453	Milton Berle
yp5461	Desmond Harrington
yp56159	Elmir Jukić
yp57990	Henning Carlsen
yp58397	Gianfranco Baldanello
yp5874	Sandra Dee
yp60144	Luigi Capuano
yp6115	Daran Norris
yp6392	Alessandra Martines
yp6481	Tamala Jones
yp6785	Connie Young
yp7409	Gaspard Manesse
yp7538	Josh Hutcherson
yp8095	James Nesbitt
yp8280	Purva Bedi
yp8635	Josef Hader
yp86428	Thomas Schlamme
yp86487	Robert Greenwald
yp8700	Carey Mulligan
yp87587	Ladislas Starevich
yp87894	Luc Moullet
yp87942	Ray Patterson (animator)
yp88026	Geoffrey Reeve
yp88059	Caspar Wrede
yp88198	Timo Vuorensola
yp89199	Ester Brymova
yp89242	Michael Lucas (director)
yp89472	Daniel Maze
yp90186	Tony Tenser
yp90515	Lee Seung-jae
yp9065	Alicia Fulford-Wierzbicki
yp9080	Jackie Curtis
yp91151	Mel Johnson, Jr.
yp91233	Far Shariat
yp9137	Suchitra Krishnamoorthi
yp930138	Robert Hales (director)
yp957031	Asako Kozuki
yp9646	Salim Ghouse
yp969542	Heather Peace
yp973086	Jean Mathieson
yp978750	Maria Mercedes (actor)
yp982628	Nico Lathouris
yp990714	Maria McErlane
yp995341	Willi One Blood
yp24065	Casey Robinson
yp3140	Jami Gertz
yp100762	Moneca Stori
yp1018644	Peter J. Reineman
yp10227	Aarti Chhabria
yp10255	Betsy King Ross
yp10262	Tomas Arana
yp1037576	Kerry Ann Christiansen
yp1044985	Maria Giese
yp1045	Richard Dreyfuss
yp1052024	Palash Sen
yp10615	Bong Tae-gyu
yp10713	Tullio Kezich
yp1115201	Hema Sardesai
yp11501	Lauren Socha
yp1161363	Claudia Bryar
yp1164266	Gunilla Knutsson
yp1177608	George Houvardas
yp11884	Cliff Norton
yp12006	Andrea Marcovicci
yp1206374	Rodger Boyce
yp1210779	Travis Bowen
yp12191	Nickolas Grace
yp12441	Larry Cedar
yp1245139	Lynn Kitch
yp12477	Ali Hillis
yp1285854	Adam Pallin
yp12859	John 'Dusty' King
yp13206	Juanita Hansen
yp13408	Noel Neill
yp13499	Yevgeniy Yevstigneyev
yp13720	Eddie Mayehoff
yp13838	Takehito Koyasu
yp14714	Mohammed Chaara
yp1512	Ben Stiller
yp15404	Brigitte Horney
yp15534	Taylor Schilling
yp15665	Melissa De Sousa
yp1607	Joanne Woodward
yp16182	Sharifah Aryana
yp16345	Sachin (actor)
yp16821	Teo Gheorghiu
yp16848	Lorna Tolentino
yp16860	Roberto Herlitzka
yp16913	Lisa Lampanelli
yp17379	Mamata Shankar
yp1744	Eileen Atkins
yp17594	Tony Dalton
yp17931	Taylor Cole
yp1798	Frank Whaley
yp18034	Valentin Gaft
yp18057	Geoff Eigenmann
yp18152	Sunnyi Melles
yp18245	Ranjana Deshmukh
yp18310	Milton Frome
yp18578	Anne Lambton
yp18613	Andrew Fiscella
yp1874	Nicoletta Braschi
yp19332	Lucy Gaskell
yp19460	Brid Brennan
yp19551	Mae Giraci
yp19592	Rick Jason
yp19720	Charlotte Salt
yp19802	Harold French
yp1993	Richard Gant
yp20061	Richard Beckinsale
yp20161	Jack Betts
yp20503	Barry Jackson (actor)
yp20559	Jack Woolgar
yp20828	Jamie Alcroft
yp2103	Ellen Geer
yp21123	Laetitia Casta
yp21292	Josh Stewart
yp2133	Jill Eikenberry
yp21496	Tibor Feldman
yp2164	Anne Reid
yp22093	Natalia Tena
yp2263	Walton Goggins
yp22730	Rachel Trachtenburg
yp2280	Ann Magnuson
yp2340	Rawiri Paratene
yp2388	Farley Granger
yp24894	Chris Gerolmo
yp25096	David Wise (composer)
yp26230	Makoto Shinkai
yp26625	Aditya Chopra
yp2738	Richard Eyer
yp28880	Peter Milligan
yp28994	John Gilling
yp29821	Paul Morrissey
yp3020	Forrester Harvey
yp30515	Stephen Volk
yp31906	Bruce Robinson
yp32508	Irwin Yablans
yp32769	Kay Pollak
yp3298	Jan Decleir
yp330	Richard Dysart
yp33245	Timbaland
yp34308	Mitchell Burgess
yp35488	James Melkonian
yp3751	Elias Toufexis
yp3754	Kim Poirier
yp3925	N'Bushe Wright
yp401	John Wood (English actor)
yp4100	Lorne Greene
yp41722	Adam Reed
yp4299	Alec Newman
yp43495	Gilbert Pratt
yp46086	Malcolm Mowbray
yp468	Gaby Hoffmann
yp4805	Oprah Winfrey
yp4920	Zbigniew Zamachowski
yp4957	Charlotte Rae
yp5023	Barry Watson (actor)
yp5093	Helge Jordal
yp5158	Camryn Manheim
yp5341	Amanda Wyss
yp53470	Sean Mathias
yp54262	Leidulv Risan
yp56483	John Stone (producer)
yp57696	John Grierson
yp5874	Sandra Dee
yp6003	Gigi Leung
yp60144	Luigi Capuano
yp6354	Jake Lloyd
yp6392	Alessandra Martines
yp6481	Tamala Jones
yp6840	Colin Welland
yp6866	Vishnuvardhan (director)
yp7193	Marcus Thomas (actor)
yp7538	Josh Hutcherson
yp76	William Alland
yp7733	Beverly Aadland
yp8095	James Nesbitt
yp8217	Elaine Devry
yp8280	Purva Bedi
yp86316	Jack Kinney
yp8635	Josef Hader
yp86487	Robert Greenwald
yp86690	Mike Newell (director)
yp87160	Rowan Woods
yp87547	Ira Sachs
yp87708	Rajnesh Domalpalli
yp89242	Michael Lucas (director)
yp89383	Keith Samples
yp90186	Tony Tenser
yp90672	Joel Douglas
yp9080	Jackie Curtis
yp91151	Mel Johnson, Jr.
yp91229	Nial Fulton
yp9137	Suchitra Krishnamoorthi
yp930120	Fredi Walker
yp934754	Selina Griffiths
yp957031	Asako Kozuki
yp9646	Salim Ghouse
yp978750	Maria Mercedes (actor)
yp990714	Maria McErlane
